date,year,month,quarter,actual_revenue,budgeted_revenue,revenue_variance,revenue_variance_pct,operating_margin,days_sales_outstanding,non_revenue_water_pct,cost_per_gallon,collection_rate,water_revenue,cash_reserve,debt_service_coverage,total_ar,current_pct,days_30_pct,days_60_pct,required_minimum,actual_coverage,projected_coverage,residential_revenue,commercial_revenue,departments,monthly_revenue,monthly_expenses,monthly_margin,outstanding_debt,projected_revenue_12m,expected_operating_expenses,capital_investment_plan,projected_net_income,scenarios,alerts,revenue_optimization_confidence,revenue_optimization_impact_pct,profitability_forecast_confidence,profitability_forecast_net_income,revenue_leakage_confidence,revenue_leakage_daily_loss,revenue_leakage_efficiency_gap,cost_optimization_confidence,cost_optimization_daily_recovery
2022-01-01,2022,1,Q1,0.07,0.06,0.01,16.67,0.1833,38.3,0.2386,4.26,0.9413,0.13,4.28,1.37,1.2,0.47,0.23,0.12,1.5,1.37,1.4223119347735982,0.03783737136019042,0.026080821137239394,"[{""department"": ""Personnel"", ""budget"": 15.93, ""actual"": 15.76, ""variance"": -0.17, ""variance_pct"": -1.07}, {""department"": ""Operations"", ""budget"": 24.43, ""actual"": 26.23, ""variance"": 1.8, ""variance_pct"": 7.37}, {""department"": ""Infrastructure"", ""budget"": 18.75, ""actual"": 20.75, ""variance"": 2.0, ""variance_pct"": 10.67}, {""department"": ""Maintenance"", ""budget"": 12.32, ""actual"": 12.13, ""variance"": -0.19, ""variance_pct"": -1.54}, {""department"": ""Utilities"", ""budget"": 11.63, ""actual"": 10.92, ""variance"": -0.71, ""variance_pct"": -6.1}]",0.07,0.09,-0.02,8.11,0.07,0.08579,3.17,-3.18579,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.03, ""debt_service_coverage"": 1.37, ""net_income"": -1.0, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.0M, 3.6% above budget forecast."", ""potential_impact_k"": -36.14, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-02,2022,1,Q1,0.07,0.06,0.01,16.67,0.1867,37.8,0.2286,4.28,0.9363,0.13,4.11,1.34,1.24,0.47,0.23,0.12,1.5,1.34,1.389404670233272,0.04022810897687427,0.030232888291320426,"[{""department"": ""Personnel"", ""budget"": 16.85, ""actual"": 16.33, ""variance"": -0.52, ""variance_pct"": -3.09}, {""department"": ""Operations"", ""budget"": 25.51, ""actual"": 26.16, ""variance"": 0.65, ""variance_pct"": 2.55}, {""department"": ""Infrastructure"", ""budget"": 20.68, ""actual"": 20.65, ""variance"": -0.03, ""variance_pct"": -0.15}, {""department"": ""Maintenance"", ""budget"": 12.97, ""actual"": 13.5, ""variance"": 0.53, ""variance_pct"": 4.09}, {""department"": ""Utilities"", ""budget"": 11.12, ""actual"": 10.95, ""variance"": -0.17, ""variance_pct"": -1.53}]",0.07,0.09,-0.02,8.1,0.14,0.17338,3.21,-3.24338,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.05, ""debt_service_coverage"": 1.34, ""net_income"": -1.03, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.0M, 3.6% above budget forecast."", ""potential_impact_k"": -36.92, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-03,2022,1,Q1,0.07,0.06,0.01,16.67,0.1856,37.5,0.2239,4.31,0.9413,0.13,4.2,1.32,1.18,0.47,0.23,0.12,1.5,1.32,1.3764316908074552,0.04095267262401187,0.027982812853096957,"[{""department"": ""Personnel"", ""budget"": 16.22, ""actual"": 15.66, ""variance"": -0.56, ""variance_pct"": -3.45}, {""department"": ""Operations"", ""budget"": 27.61, ""actual"": 29.93, ""variance"": 2.32, ""variance_pct"": 8.4}, {""department"": ""Infrastructure"", ""budget"": 19.85, ""actual"": 22.03, ""variance"": 2.18, ""variance_pct"": 10.98}, {""department"": ""Maintenance"", ""budget"": 12.98, ""actual"": 12.42, ""variance"": -0.56, ""variance_pct"": -4.31}, {""department"": ""Utilities"", ""budget"": 11.84, ""actual"": 10.85, ""variance"": -0.99, ""variance_pct"": -8.36}]",0.07,0.09,-0.02,8.18,0.21000000000000002,0.26427,3.21,-3.26427,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.09, ""debt_service_coverage"": 1.32, ""net_income"": -1.07, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.1M, 3.6% above budget forecast."", ""potential_impact_k"": -38.34, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-04,2022,1,Q1,0.07,0.06,0.01,16.67,0.1846,37.4,0.2328,4.25,0.9412,0.13,4.17,1.39,1.28,0.47,0.23,0.12,1.5,1.39,1.4423301610495174,0.04240832250646467,0.02839749904264661,"[{""department"": ""Personnel"", ""budget"": 16.49, ""actual"": 15.75, ""variance"": -0.74, ""variance_pct"": -4.49}, {""department"": ""Operations"", ""budget"": 26.18, ""actual"": 29.41, ""variance"": 3.23, ""variance_pct"": 12.34}, {""department"": ""Infrastructure"", ""budget"": 19.23, ""actual"": 20.87, ""variance"": 1.64, ""variance_pct"": 8.53}, {""department"": ""Maintenance"", ""budget"": 13.95, ""actual"": 13.25, ""variance"": -0.7, ""variance_pct"": -5.02}, {""department"": ""Utilities"", ""budget"": 11.2, ""actual"": 10.38, ""variance"": -0.82, ""variance_pct"": -7.32}]",0.07,0.09,-0.02,8.11,0.28,0.35392999999999997,3.18,-3.25393,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.08, ""debt_service_coverage"": 1.39, ""net_income"": -1.05, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.1M, 3.6% above budget forecast."", ""potential_impact_k"": -37.81, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-05,2022,1,Q1,0.08,0.06,0.02,33.33,0.1788,38.4,0.2248,4.28,0.9362,0.13,4.14,1.35,1.16,0.47,0.23,0.12,1.5,1.35,1.4075939935483424,0.04846294224902877,0.03107679289643648,"[{""department"": ""Personnel"", ""budget"": 16.31, ""actual"": 14.62, ""variance"": -1.69, ""variance_pct"": -10.36}, {""department"": ""Operations"", ""budget"": 25.45, ""actual"": 25.59, ""variance"": 0.14, ""variance_pct"": 0.55}, {""department"": ""Infrastructure"", ""budget"": 21.43, ""actual"": 22.9, ""variance"": 1.47, ""variance_pct"": 6.86}, {""department"": ""Maintenance"", ""budget"": 13.92, ""actual"": 13.47, ""variance"": -0.45, ""variance_pct"": -3.23}, {""department"": ""Utilities"", ""budget"": 11.82, ""actual"": 11.75, ""variance"": -0.07, ""variance_pct"": -0.59}]",0.08,0.09,-0.01,8.1,0.36000000000000004,0.44226,3.19,-3.2722599999999997,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.06, ""debt_service_coverage"": 1.35, ""net_income"": -1.03, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.0M, 3.6% above budget forecast."", ""potential_impact_k"": -37.11, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-06,2022,1,Q1,0.08,0.07,0.01,14.29,0.185,37.9,0.2293,4.23,0.9399,0.14,4.18,1.37,1.23,0.47,0.23,0.12,1.5,1.37,1.413770656102016,0.047727641932846114,0.029876995905012766,"[{""department"": ""Personnel"", ""budget"": 16.25, ""actual"": 15.49, ""variance"": -0.76, ""variance_pct"": -4.68}, {""department"": ""Operations"", ""budget"": 27.8, ""actual"": 28.09, ""variance"": 0.29, ""variance_pct"": 1.04}, {""department"": ""Infrastructure"", ""budget"": 23.2, ""actual"": 24.38, ""variance"": 1.18, ""variance_pct"": 5.09}, {""department"": ""Maintenance"", ""budget"": 13.5, ""actual"": 13.33, ""variance"": -0.17, ""variance_pct"": -1.26}, {""department"": ""Utilities"", ""budget"": 12.26, ""actual"": 11.66, ""variance"": -0.6, ""variance_pct"": -4.89}]",0.08,0.09,-0.01,8.09,0.44000000000000006,0.53521,3.13,-3.2252099999999997,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.12, ""debt_service_coverage"": 1.37, ""net_income"": -1.09, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.1M, 3.6% above budget forecast."", ""potential_impact_k"": -39.1, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-07,2022,1,Q1,0.07,0.06,0.01,16.67,0.1753,38.1,0.2289,4.25,0.9439,0.13,4.26,1.37,1.27,0.47,0.23,0.12,1.5,1.37,1.421172178347436,0.04288934375124554,0.027154358160335325,"[{""department"": ""Personnel"", ""budget"": 16.88, ""actual"": 15.27, ""variance"": -1.61, ""variance_pct"": -9.54}, {""department"": ""Operations"", ""budget"": 26.09, ""actual"": 27.8, ""variance"": 1.71, ""variance_pct"": 6.55}, {""department"": ""Infrastructure"", ""budget"": 20.57, ""actual"": 22.35, ""variance"": 1.78, ""variance_pct"": 8.65}, {""department"": ""Maintenance"", ""budget"": 13.34, ""actual"": 12.12, ""variance"": -1.22, ""variance_pct"": -9.15}, {""department"": ""Utilities"", ""budget"": 12.36, ""actual"": 12.27, ""variance"": -0.09, ""variance_pct"": -0.73}]",0.07,0.09,-0.02,8.14,0.51,0.62502,3.27,-3.38502,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.08, ""debt_service_coverage"": 1.37, ""net_income"": -1.05, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.1M, 3.6% above budget forecast."", ""potential_impact_k"": -37.88, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-08,2022,1,Q1,0.07,0.06,0.01,16.67,0.1826,38.1,0.2357,4.26,0.9415,0.12,4.15,1.33,1.13,0.47,0.23,0.12,1.5,1.33,1.3554434286788601,0.04056326067457594,0.028306885862687026,"[{""department"": ""Personnel"", ""budget"": 17.53, ""actual"": 16.57, ""variance"": -0.96, ""variance_pct"": -5.48}, {""department"": ""Operations"", ""budget"": 28.25, ""actual"": 32.57, ""variance"": 4.32, ""variance_pct"": 15.29}, {""department"": ""Infrastructure"", ""budget"": 20.26, ""actual"": 20.48, ""variance"": 0.22, ""variance_pct"": 1.09}, {""department"": ""Maintenance"", ""budget"": 13.04, ""actual"": 12.63, ""variance"": -0.41, ""variance_pct"": -3.14}, {""department"": ""Utilities"", ""budget"": 10.81, ""actual"": 10.32, ""variance"": -0.49, ""variance_pct"": -4.53}]",0.07,0.09,-0.02,8.14,0.5800000000000001,0.71759,3.23,-3.36759,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.11, ""debt_service_coverage"": 1.33, ""net_income"": -1.09, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.1M, 3.6% above budget forecast."", ""potential_impact_k"": -39.07, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-09,2022,1,Q1,0.08,0.06,0.02,33.33,0.1909,37.9,0.2358,4.28,0.9401,0.14,4.22,1.38,1.18,0.47,0.23,0.12,1.5,1.38,1.4236018544399416,0.048976376009110395,0.03307748610040591,"[{""department"": ""Personnel"", ""budget"": 17.12, ""actual"": 17.05, ""variance"": -0.07, ""variance_pct"": -0.41}, {""department"": ""Operations"", ""budget"": 28.63, ""actual"": 30.8, ""variance"": 2.17, ""variance_pct"": 7.58}, {""department"": ""Infrastructure"", ""budget"": 18.0, ""actual"": 19.4, ""variance"": 1.4, ""variance_pct"": 7.78}, {""department"": ""Maintenance"", ""budget"": 13.91, ""actual"": 13.32, ""variance"": -0.59, ""variance_pct"": -4.24}, {""department"": ""Utilities"", ""budget"": 10.75, ""actual"": 9.96, ""variance"": -0.79, ""variance_pct"": -7.35}]",0.08,0.09,-0.01,8.09,0.66,0.80812,3.23,-3.37812,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.09, ""debt_service_coverage"": 1.38, ""net_income"": -1.06, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.1M, 3.6% above budget forecast."", ""potential_impact_k"": -38.06, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
2022-01-10,2022,1,Q1,0.07,0.06,0.01,16.67,0.192,36.7,0.2348,4.28,0.9412,0.13,4.21,1.31,1.26,0.47,0.23,0.12,1.5,1.31,1.387816670963533,0.04266463894677585,0.028226508156843813,"[{""department"": ""Personnel"", ""budget"": 15.84, ""actual"": 14.09, ""variance"": -1.75, ""variance_pct"": -11.05}, {""department"": ""Operations"", ""budget"": 26.9, ""actual"": 27.6, ""variance"": 0.7, ""variance_pct"": 2.6}, {""department"": ""Infrastructure"", ""budget"": 22.8, ""actual"": 23.82, ""variance"": 1.02, ""variance_pct"": 4.47}, {""department"": ""Maintenance"", ""budget"": 14.31, ""actual"": 12.92, ""variance"": -1.39, ""variance_pct"": -9.71}, {""department"": ""Utilities"", ""budget"": 11.46, ""actual"": 10.92, ""variance"": -0.54, ""variance_pct"": -4.71}]",0.07,0.09,-0.02,8.04,0.7300000000000001,0.89747,3.12,-3.28747,"[{""scenario"": ""Base Scenario"", ""projected_revenue"": 0.03, ""projected_expenses"": 1.07, ""debt_service_coverage"": 1.31, ""net_income"": -1.05, ""financial_viability"": ""Healthy""}]","[{""alert_type"": ""Revenue Optimization Opportunity"", ""description"": ""Analysis suggests implementing dynamic pricing during peak demand hours could increase quarterly revenue by 2-3%."", ""potential_impact_k"": 0.0, ""confidence_level"": 92.0}, {""alert_type"": ""Q1 Profitability Forecast"", ""description"": ""Based on current trajectory, Q1 net income expected to reach $-1.0M, 3.6% above budget forecast."", ""potential_impact_k"": -37.68, ""confidence_level"": 85.0}, {""alert_type"": ""Revenue Leakage Detected"", ""description"": ""$285K daily loss from NRW represents 23% efficiency gap vs. industry benchmark of 15%."", ""potential_impact_k"": 285, ""confidence_level"": 80.0}, {""alert_type"": ""Cost Optimization Opportunity"", ""description"": ""Reducing NRW by 5% could recover $52.2K in daily revenue without operational changes."", ""potential_impact_k"": 52.2, ""confidence_level"": 87.0}]",92,2.5,85,19.8,80,285,23,87,52.2
